feature,importance_gain,importance_split
cdescubierto_preacordado_delta_1_1,733.1758985519409,17
slope_ctarjeta_debito_transacciones_2_window,727.1970372200012,58
cplazo_fijo,725.9663531780243,59
margen_por_producto_delta_1,725.3026394844055,66
comisiones_ratio_delta_1,724.0342707633972,56
slope_ctarjeta_visa_debitos_automaticos_2_window,721.4125838279724,50
uso_digital_ratio_delta_2,716.0531229972839,58
mcuentas_saldo_delta_2,715.8027205467224,54
slope_mtransferencias_emitidas_3_window,710.0270109176636,49
actividad_total_delta_2,707.9083819389343,58
slope_margen_por_producto_2_window,702.6360664367676,48
slope_TC_Total_cconsumos_2_window,699.7023420333862,44
uso_tarjeta_ratio_lag_1_1,699.1580281257629,42
TC_Total_Fvencimiento_lag_1_1,699.0134062767029,57
slope_mcomisiones_otras_3_window,696.1278367042542,54
slope_ccajas_consultas_3_window,695.5658321380615,47
Visa_mconsumototal,693.6423239707947,47
uso_tarjeta_ratio_delta_2,693.4120247364044,53
comisiones_ratio_lag_1_1,692.7344241142273,55
slope_mpagomiscuentas_2_window,691.8320913314819,38
slope_Visa_mpagominimo_3_window,689.6401252746582,43
mcaja_ahorro_lag_1_1,687.8979783058167,46
margen_por_producto_delta_2,687.2256698608398,61
comisiones_ratio_lag_2,686.4346132278442,49
Visa_cconsumos,685.3838419914246,53
slope_extracciones_ratio_2_window,682.8053393363953,50
Visa_mconsumospesos_lag_1,681.9937572479248,50
chomebanking_transacciones_delta_2,675.4565415382385,60
TC_Total_fechaalta_lag_2,675.2390308380127,55
Master_mpagospesos,672.06169962883,56
ctarjeta_debito_transacciones,671.0447807312012,50
chomebanking_transacciones_lag_1,666.6709313392639,41
Visa_mpagospesos_delta_1,663.6546883583069,60
mcomisiones_otras_lag_1,663.2228021621704,58
flujo_netotransf_delta_2,662.1515169143677,68
ccomisiones_otras_lag_1,658.7733111381531,42
mactivos_margen_delta_1_1,658.2249298095703,47
slope_Visa_mconsumospesos_3_window,656.4523367881775,39
ctarjeta_debito,655.3176295757294,56
ratio_productos_uso_delta_1_1,653.0172638893127,53
TC_Total_mlimitecompra,650.7808218002319,48
slope_Visa_msaldototal_2_window,650.2984576225281,31
mprestamos_prendarios,649.3143672943115,61
slope_ratio_productos_uso_3_window,648.431040763855,48
Visa_msaldopesos_delta_1,648.1405391693115,41
mtarjeta_visa_consumo_delta_1,646.6351780891418,49
ratio_productos_uso_delta_1,645.7881689071655,50
Visa_fechaalta_lag_2,645.7616586685181,47
slope_actividad_total_2_window,641.0920925140381,52
slope_Visa_msaldopesos_2_window,641.0780534744263,27
slope_ctarjeta_debito_2_window,639.8944516181946,46
margen_total_lag_1,639.7784774303436,49
slope_Visa_cconsumos_3_window,638.5414071083069,51
Visa_mpagominimo_lag_1_1,633.0582237243652,48
Visa_Fvencimiento_lag_2,631.322728395462,54
mcomisiones_lag_1_1,630.6818833351135,33
Master_Fvencimiento_lag_2,626.571298122406,51
ccallcenter_transacciones_delta_1_1,625.4820938110352,9
ccomisiones_otras_lag_1_1,624.4529509544373,28
slope_ccuenta_debitos_automaticos_2_window,620.6851162910461,37
mpasivos_margen_delta_1,618.4335389137268,49
Visa_mpagospesos_delta_1_1,617.0786395072937,58
slope_ctarjeta_master_3_window,616.7406945228577,9
slope_cliente_antiguedad_3_window,616.2898092269897,45
margen_por_cuenta_delta_2,613.4472510814667,58
slope_uso_credito_ratio_3_window,611.1026697158813,42
slope_mcomisiones_2_window,610.3279333114624,51
slope_ctransferencias_recibidas_2_window,609.2332787513733,52
slope_Master_fechaalta_3_window,606.3119888305664,44
ctrx_30d_delta_1_1,604.2095489501953,45
slope_mtransferencias_emitidas_2_window,604.1418204307556,46
slope_Visa_mpagospesos_3_window,603.5992212295532,45
slope_thomebanking_3_window,598.6321024894714,41
saldo_total_pesos_delta_2,591.4810390472412,44
ctrx_90d_delta_1,590.6859421730042,52
Visa_mpagospesos_lag_1,590.5592794418335,52
mrentabilidad_lag_1_1,590.2207069396973,47
ccuenta_debitos_automaticos,589.8856596946716,33
slope_Master_status_3_window,589.3447046279907,22
mcaja_ahorro_dolares_delta_1_1,586.8309569358826,35
slope_Visa_cconsumos_2_window,586.4579420089722,42
extracciones_ratio,584.6025233268738,57
uso_tarjeta_ratio_delta_1_1,579.4898037910461,54
slope_Visa_Fvencimiento_3_window,577.4985573291779,48
ccajas_transacciones,574.9271116256714,17
slope_saldo_total_dolares_2_window,574.4624981880188,50
slope_deuda_tarjetas_total_2_window,573.4515857696533,17
diversificacion_financiera,569.4348900318146,53
slope_TC_Total_Fvencimiento_3_window,565.5928773880005,43
mcaja_ahorro_delta_1,564.5031795501709,47
slope_TC_Total_mfinanciacion_limite_2_window,564.4790782928467,42
slope_Visa_msaldototal_3_window,564.3055443763733,36
uso_credito_ratio_lag_2,564.263204574585,35
ctarjeta_visa_transacciones_delta_1,563.587541103363,48
slope_ccajas_transacciones_3_window,563.16273021698,41
margen_por_producto_lag_1_1,561.9575605392456,39
slope_mttarjeta_visa_debitos_automaticos_3_window,560.1132206916809,42
slope_Visa_mlimitecompra_2_window,558.817421913147,37
margen_por_cuenta_delta_1,558.2502484321594,45
TC_Total_msaldodolares,556.7708883285522,67
slope_ingresos_vs_saldo_2_window,555.6775689125061,36
flujo_netotransf_lag_1,555.1812920570374,48
chomebanking_transacciones_delta_1,553.7176694869995,36
