feature,importance_gain,importance_split
ctarjeta_visa_descuentos,745.129302740097,45
ccajas_consultas,728.2076685428619,68
slope_mtarjeta_master_consumo_6_window,720.8946528434753,71
Master_Finiciomora_delta_mean_8,719.9700541496277,48
cpagodeservicios_delta_mean_8,718.8522770404816,83
slope_TC_Total_mpagosdolares_6_window,718.1141517162323,75
cmobile_app_trx_delta_mean_4,715.0307126045227,82
tusa_app_o_homebanking,705.8877730369568,23
mprestamos_hipotecarios,703.6276898384094,77
ccaja_ahorro_delta_3,702.8177134990692,13
mtarjeta_visa_descuentos,700.8542656898499,53
ctransferencias_recibidas_delta_3,698.4721002578735,71
ctarjeta_master_descuentos,696.9447371959686,46
Visa_status_delta_mean_4,685.6677603721619,47
cdiversificacion_financiera_delta_mean_8,683.2233102321625,49
Visa_madelantopesos,678.752676486969,61
Visa_fultimo_cierre_delta_3,676.1574211120605,31
Master_fultimo_cierre_delta_mean_4,671.7036979198456,78
Master_cconsumos,668.5461823940277,70
slope_mplazo_fijo_dolares_6_window,658.9804508686066,73
talta_mora_delta_mean_8,648.421754360199,40
ccanales_activos_delta_3,639.142255783081,50
ccajas_otras,622.836681842804,37
cmobile_app_trx_delta_2,619.5230901241302,74
mtarjeta_master_descuentos,618.8290786743164,38
TC_Total_mpagado,616.807831287384,72
tes_empleado_delta_mean_4,610.5874848365784,28
ctarjeta_master_debitos_automaticos_delta_mean_8,607.9990801811218,50
cplazo_fijo,594.679004907608,38
cpagomiscuentas_delta_3,594.2213816642761,53
ctarjeta_master_delta_mean_8,588.1819062232971,39
tes_empleado_delta_3,581.6385335922241,11
ctransferencias_emitidas_delta_2,580.0871887207031,49
ctarjeta_debito_delta_mean_4,574.1028890609741,43
ccajas_depositos_delta_mean_8,569.7029402256012,66
cpayroll_trx_delta_2,567.490885257721,29
slope_mttarjeta_master_debitos_automaticos_6_window,566.9069414138794,64
cextraccion_autoservicio_delta_2,566.2175395488739,60
cforex_buy_delta_mean_8,557.2580008506775,49
ccajas_transacciones,556.562596321106,32
slope_Master_mpagosdolares_6_window,548.036340713501,67
ccajas_extracciones_delta_mean_4,545.9507327079773,59
slope_Master_mconsumosdolares_6_window,545.1383113861084,60
ctarjeta_master_transacciones_delta_3,543.04718708992,54
ccheques_emitidos_delta_mean_4,540.743460893631,38
tsin_transacciones_mes_delta_mean_8,534.8069434165955,62
Master_cconsumos_delta_2,527.3455901145935,51
ctarjeta_visa_descuentos_delta_mean_4,519.439927816391,46
mttarjeta_master_debitos_automaticos,519.4310908317566,56
ccuenta_debitos_automaticos_delta_2,518.1277711391449,44
ccajas_depositos,512.8639209270477,43
ccuenta_debitos_automaticos_delta_3,511.51012802124023,37
Master_fultimo_cierre_delta_3,510.50350284576416,28
tsin_sueldo_mes_delta_mean_4,493.0928645133972,22
ctarjeta_master_descuentos_delta_mean_8,490.1023371219635,44
Visa_Fvencimiento_delta_3,486.97615098953247,30
Visa_Finiciomora_delta_3,486.8776602745056,28
